id,make,model,trim,year,price,description
1,Toyota,Corolla,LE,2021,58000,Well maintained sedan with low mileage full service history single owner
2,Honda,Civic,EX,2020,62000,Sporty compact car excellent fuel economy sunroof leather seats
3,Honda,CR-V,Touring,2019,79000,Spacious SUV with all wheel drive great for families rear camera
4,Nissan,Patrol,Platinum,2022,215000,Powerful full size SUV luxury interior V8 engine off road capable
5,Toyota,Land Cruiser,GXR,2021,265000,Rugged SUV excellent condition GCC specs single owner
6,Ford,Explorer,XLT,2020,89000,Comfortable three row SUV good for large families
7,BMW,X5,xDrive40i,2021,220000,Premium SUV panoramic sunroof leather seats low mileage
8,Mercedes-Benz,C-Class,C300,2020,135000,Elegant sedan sport package well maintained
9,Chevrolet,Tahoe,LT,2019,95000,Large SUV third row seating tow package
10,Kia,Sportage,EX,2021,68000,Compact SUV great value low mileage warranty remaining
11,Hyundai,Tucson,Limited,2020,64000,Reliable crossover SUV good fuel economy backup camera
12,Toyota,Camry,SE,2019,52000,Mid size sedan smooth ride excellent condition
13,Honda,Accord,Sport,2021,75000,Sedan with turbo engine sport styling low mileage
14,Nissan,Altima,SV,2020,49000,Comfortable sedan good on fuel single owner
15,Jeep,Wrangler,Rubicon,2021,145000,Off road SUV convertible top low mileage excellent condition
16,Mazda,CX-5,Grand Touring,2020,72000,Compact SUV stylish interior good handling
17,Lexus,RX350,F Sport,2021,185000,Luxury SUV leather interior panoramic roof low mileage
18,Audi,Q7,Premium,2019,175000,Luxury SUV third row seating quattro all wheel drive
19,Toyota,Hilux,SR5,2020,78000,Pickup truck rugged reliable good for work or off road
20,Ford,F-150,Lariat,2021,135000,Full size pickup truck powerful engine towing package
21,Volkswagen,Tiguan,SE,2020,66000,Compact SUV comfortable ride good safety ratings
22,Chevrolet,Malibu,LT,2019,45000,Sedan good fuel economy comfortable interior
23,Mitsubishi,Pajero,GLS,2020,92000,SUV off road capable spacious interior
24,Toyota,RAV4,XLE,2021,89000,Popular SUV excellent resale value low mileage
25,Honda,HR-V,EX,2020,58000,Small SUV great city car good fuel economy
26,Nissan,X-Trail,SV,2021,74000,Family SUV comfortable ride good safety features
27,Kia,Sorento,SX,2020,82000,Three row SUV good value low mileage
28,Hyundai,Elantra,Limited,2020,46000,Sedan good fuel economy modern features
29,BMW,3 Series,330i,2020,145000,Sporty sedan excellent handling premium interior
30,Mercedes-Benz,GLE,GLE450,2021,235000,Luxury SUV powerful engine advanced tech features
31,Toyota,Yaris,SE,2019,38000,Small economical car great for city driving
32,Ford,Mustang,GT,2020,155000,Sports car V8 engine excellent condition low mileage
33,Chevrolet,Camaro,SS,2019,145000,Sports car powerful engine great condition
34,Nissan,Sunny,SV,2018,32000,Economical sedan low running costs reliable
35,Toyota,Prado,VXR,2021,245000,Rugged luxury SUV excellent off road GCC specs
36,Range Rover,Sport,HSE,2020,285000,Luxury SUV premium interior powerful engine
37,Honda,City,EX,2020,45000,Compact sedan economical reliable good condition
38,Kia,Rio,LX,2019,32000,Small economical car good for first time buyers
39,Hyundai,Accent,GL,2018,28000,Compact sedan low mileage economical
40,Toyota,Fortuner,VXR,2021,148000,Family SUV rugged reliable spacious interior
